Блок,Описание,Сложность,Часы_min,Часы_max,Ставка_USD,Стоимость_min,Стоимость_max,Приоритет,Зависимости,Раздел_ТЗ,Примечание
1. Инфраструктура и деплой,"Окружение, домен jooz.ae, CI/CD, PostgreSQL/Redis, медиа-хранилище, мониторинг",M,24,40,45,1080,1800,Блокер,—,"I.1, IX.1",
2. Дизайн-доводка,"Перенастройка под 4 раздела соков, визуальная полировка",M,24,40,45,1080,1800,MVP,5,"I.6, B1",Приоритет заказчика — визуал
3. Бэкенд-фундамент,"FastAPI, модель данных ~27 таблиц, формат ошибок, API-gateway, JWT персонала, Redis-кэш",L,70,110,45,3150,4950,Блокер,1,"I, II, VIII.3",
4. Регистрация без OTP,"Имя+телефон (мультикод Залива)+номер машины, User в БД, привязка заказа к телефону",S/M,16,28,45,720,1260,Блокер,3,"I.2, A4/A6, VI.1",Без SMS-провайдера на старте
5. Каталог (4 раздела),"Категории/продукты/варианты/медиа, API каталога, тест-данные",M,32,50,45,1440,2250,Блокер,3,"B, II.1, VI.2",Каталог как тест-данные
6. Конструктор/формулы/правила/лимиты,"Движок preview (binding+compatibility+стоп-логика), формат рецепта, live-КБЖУ/цена, масштабируемость данными",XL,70,110,45,3150,4950,Блокер,"3,5","IV, VI.2",Критический путь; зависит от файла Абдулазиза
7. Корзина + Checkout,"Позиции, VAT 5%, эмират+plate (Latin-only), слоты выдачи",S/M,16,28,45,720,1260,Блокер,"5,6","D1/D2, VI.3",
8. Оплата Stripe,"PaymentIntent, подписанный webhook, статус PAID; Apple/Google Pay опц.",L,30,50,45,1350,2250,Блокер,"3,7","D3, VI.4, VII.2",Замена Tap на Stripe
9. Статусы заказа + curbside,"Жизненный цикл CREATED..PICKED_UP, Я приехал, SSE-канал",M,24,40,45,1080,1800,Блокер,"3,8","E2, VII.3",
10. KDS (планшет),"Очередь точки, WebSocket, Принять/Готовить/Готов/Выдан, индикатор приехал",L,50,80,45,2250,3600,MVP,"3,9","V.11, VI.6",Нет в прототипе
11. Админка (каталог+контент+операции),"Продукты/допы/группы/правила/точки/заказы/сотрудники, контент EN/AR, привязка к API",L/XL,60,100,45,2700,4500,MVP,"3,5,6","V, VI.5",
12. Локализация EN/AR (RTL),"i18n-инфра, RTL, перевод UI, переключатель языков",M/L,30,50,45,1350,2250,MVP,2,I.5,Целевой — EN+AR с старта
13. Дашборд-аналитика (минимум),"Базовые метрики + события /events",M,20,36,45,900,1620,MVP,3,"V.1, VI.7",Состав метрик — Абдулазиз
14. Мультилокационный задел,"outlet-scope, матрица меню×точки, стоп-листы",S/M,16,28,45,720,1260,MVP,"3,11","V.8, II.1",На старте 1 точка
15. Тест / QA,"Расширение e2e Playwright, регресс, лёгкая нагрузка",M,30,50,45,1350,2250,MVP,все,IX.3,
16. PM / коммуникация / документация,"Управление, синхронизация с заказчиком/Абдулазизом, передача",M,24,40,45,1080,1800,Блокер,—,—,
17. Лояльность (полная),"каждый N-й бесплатный, перенос старой базы клиентов",L,30,50,45,1350,2250,V2,"3,4","VII.6, §0.1 C11",
18. Фишки Drinkit (опция),"Ваучер за ожидание; переделать напиток (заявка)",M,24,40,45,1080,1800,V2,"9,10","VII.7, §0.1 C12",
19. POS / учётная интеграция,"Синхронизация с iiko/Shopify/выбранной системой",L,40,70,45,1800,3150,V2,3,VIII.4,Выбор за Абдулазизом
20. OTP/SMS + мобильное приложение,"SMS-провайдер, OTP-флоу, Capacitor для сторов",XL,80,140,45,3600,6300,V2,4,§0.1 C3,
21. Расширенная аналитика,"Воронка, топ-товары, среднее время готовки, отчёты",M,24,40,45,1080,1800,V2,13,V.1,
ИТОГО Вариант 1 (2 недели),"тонкий срез: 1мин,2част,3сокр,4,5,6базовый,7,8,9,12каркас,16",,270,380,45,12150,17100,,,,Только командой 3-4 чел
ИТОГО Вариант 2 (месяц),"блоки 1-16",,536,880,45,24120,39600,,,,Рекомендуемый
ИТОГО Вариант 3 (+V2),"блоки 1-21",,734,1220,45,33030,54900,,,,
